country,year,quarter,account,cost_of_goods_usd,price_usd,sales_usd,quantity,avg_price_per_item,markup_ratio
American Samoa,2022,2,"Weissnat, Braun and Gibson",9895.8605,26.9077,12127.28,450.7,26.9077,0.0027
American Samoa,2022,3,"Weissnat, Braun and Gibson",18101.038,59.7604,29954.28,1333.66,22.4602,0.0033
American Samoa,2023,2,Rodriguez-Prohaska,15567.0603,631.6739,27290.79,837.37,32.5911,0.0406
American Samoa,2023,2,"Weissnat, Braun and Gibson",11083.7822,838.0737,23685.45,673.38,35.174,0.0756
American Samoa,2023,3,"Weissnat, Braun and Gibson",4409.5355,14.6957,7499.21,510.3,14.6957,0.0033
American Samoa,2023,4,Rodriguez-Prohaska,9018.5768,90.6361,12756.12,140.74,90.6361,0.01
American Samoa,2024,1,"Weissnat, Braun and Gibson",29925.4339,142.1008,34761.59,492.68,70.5561,0.0047
Argentina,2022,1,"Heidenreich, Von and Kirlin",8769.2939,49.9675,16896.52,338.15,49.9675,0.0057
Argentina,2022,1,Larson-Fritsch,5258.2614,12.585,11480.92,912.27,12.585,0.0024
Argentina,2022,1,"Metz, Murphy and Terry",3836.4131,28.0147,8110.81,289.52,28.0147,0.0073
Argentina,2022,1,Schowalter-Johnson,5237.275,65.2769,16417.79,251.51,65.2769,0.0125
Argentina,2022,2,"Metz, Murphy and Terry",5801.7351,8.5968,7819.05,909.53,8.5968,0.0015
Argentina,2022,3,Bruen-Fisher,14465.272,47.4159,22466.42,957.87,23.4546,0.0033
Argentina,2022,3,Larson-Fritsch,18272.994,85.458,26132.06,965.64,27.0619,0.0047
Argentina,2022,3,"Metz, Murphy and Terry",4429.776,8.1313,5954.0,732.23,8.1313,0.0018
Argentina,2022,3,Schowalter-Johnson,18865.6205,209.3522,23020.21,394.16,58.4032,0.0111
Argentina,2022,4,"Metz, Murphy and Terry",16649.169,85.3408,32800.02,841.24,38.9901,0.0051
Argentina,2022,4,"Muller, Block and Schoen",13641.6382,242.0006,21756.9,234.24,92.8829,0.0177
Argentina,2022,4,Schowalter-Johnson,7758.3444,147.9925,19015.55,128.49,147.9925,0.0191
Argentina,2023,1,Bruen-Fisher,7637.6281,13.5543,11467.91,846.07,13.5543,0.0018
Argentina,2023,1,Ernser-Effertz,5925.6565,192.112,15676.34,81.6,192.112,0.0324
Argentina,2023,1,"Heidenreich, Von and Kirlin",2686.6159,7.4221,5216.73,702.86,7.4221,0.0028
Argentina,2023,1,Larson-Fritsch,5579.2531,18.19,7814.08,429.58,18.19,0.0033
Argentina,2023,1,"Metz, Murphy and Terry",15813.3341,123.1756,29108.82,920.1,31.6366,0.0078
Argentina,2023,1,Schowalter-Johnson,9754.2532,50.1393,14536.89,289.93,50.1393,0.0051
Argentina,2023,2,Ernser-Effertz,11961.1193,49.1114,19650.76,823.42,23.8648,0.0041
Argentina,2023,2,"Heidenreich, Von and Kirlin",9584.7974,25.5984,11847.71,462.83,25.5984,0.0027
Argentina,2023,3,Ernser-Effertz,11503.6111,81.3988,14433.64,177.32,81.3988,0.0071
Argentina,2023,3,Larson-Fritsch,10237.3798,82.0971,27737.88,789.11,35.1508,0.008
Argentina,2023,3,"Metz, Murphy and Terry",4451.5554,25.9396,5128.52,197.71,25.9396,0.0058
Argentina,2023,3,"Muller, Block and Schoen",2872.4352,10.9893,5984.24,544.55,10.9893,0.0038
Argentina,2023,3,Schowalter-Johnson,8026.3056,22.1308,9300.47,420.25,22.1308,0.0028
Argentina,2023,4,"Heidenreich, Von and Kirlin",20162.262,71.3114,23607.93,703.67,33.5497,0.0035
Argentina,2023,4,"Metz, Murphy and Terry",7894.719,40.3626,18977.69,470.18,40.3626,0.0051
Argentina,2024,1,"Heidenreich, Von and Kirlin",7530.541,35.1078,16128.33,910.3,17.7176,0.0047
Argentina,2024,1,Larson-Fritsch,19354.7912,105.411,33740.47,1081.55,31.1964,0.0054
Argentina,2024,1,"Metz, Murphy and Terry",3131.3338,16.1293,5371.07,333.0,16.1293,0.0052
Argentina,2024,1,Schowalter-Johnson,14833.4648,61.9157,19390.15,313.17,61.9157,0.0042
Australia,2022,1,Senger and Sons,2827.09,116.2803,7986.13,68.68,116.2803,0.0411
Australia,2022,2,Feil Inc,10620.6526,54.3446,12628.6,232.38,54.3446,0.0051
Australia,2023,2,Feil Inc,2892.5627,10.9676,5083.59,463.51,10.9676,0.0038
Australia,2023,3,Senger and Sons,12860.4456,32.7252,16551.41,505.77,32.7252,0.0025
Australia,2023,4,Senger and Sons,9245.0486,68.7271,10902.18,158.63,68.7271,0.0074
Australia,2024,1,Feil Inc,6600.4266,297.9048,15866.41,53.26,297.9048,0.0451
Belgium,2022,1,"Bradtke, Lindgren and Lakin",8711.5399,36.7457,18538.48,982.79,18.8631,0.0042
Brazil,2022,1,Brown and Sons,5606.4004,238.8262,9359.6,39.19,238.8262,0.0426
Brazil,2022,1,Carter Inc,5057.9188,22.4351,7054.28,314.43,22.4351,0.0044
Brazil,2022,1,Ebert-Altenwerth,5732.0361,91.1373,7156.1,78.52,91.1373,0.0159
Brazil,2022,1,Hickle Group,15636.7996,80.0621,38857.97,1902.3,20.4268,0.0051
Brazil,2022,1,"Homenick, Ratke and Langosh",7343.9465,13.0259,10768.25,826.68,13.0259,0.0018
Brazil,2022,1,Leannon Inc,4517.4278,8.1549,5475.67,671.46,8.1549,0.0018
Brazil,2022,1,Pfeffer and Sons,10233.3099,21.7759,15719.37,721.87,21.7759,0.0021
Brazil,2022,1,Quigley and Sons,13061.7885,31.6678,15366.81,485.25,31.6678,0.0024
Brazil,2022,1,Rutherford-Muller,3575.3908,10.1481,5211.94,513.59,10.1481,0.0028
Brazil,2022,1,Smitham-Collier,10494.8708,22.7171,16245.93,715.14,22.7171,0.0022
Brazil,2022,1,"Stracke, Jakubowski and Halvorson",6944.5684,13.9039,12672.57,911.44,13.9039,0.002
Brazil,2022,2,"Anderson, Howe and Bradtke",7206.9701,76.7887,16878.15,219.8,76.7887,0.0107
Brazil,2022,2,Brown and Sons,7342.1368,15.9808,10797.26,675.64,15.9808,0.0022
Brazil,2022,2,Cruickshank Group,5788.4894,26.4228,17075.19,646.23,26.4228,0.0046
Brazil,2022,2,"Dooley, Boyle and Weissnat",7258.995,32.3834,18192.97,561.8,32.3834,0.0045
